Numero du dept : 23
1 Aubrac et Carladez 10389 Polygon
2 Aveyron et Tarn 10856 Polygon
3 Causse-Comtal 11444 Polygon
4 Causses-Rougiers 11548 Polygon
5 Ceor-Ségala 13809 Polygon
6 Enne et Alzou 13414 Polygon
7 Lot et Dourdou 14042 Polygon
8 Lot et Montbazinois 11585 Polygon
9 Lot et Palanges 10207 Polygon
10 Lot et Truyère 10045 Polygon
11 Millau-1 14184 Polygon
12 Millau-2 14463 Polygon
13 Monts du Réquistanais 10630 Polygon
14 Nord-Lévezou 12989 Polygon
15 Raspes et Lévezou 10932 Polygon
16 Rodez-1 11434 Polygon
17 Rodez-2 12137 Polygon
18 Rodez-Onet 13347 Polygon
19 Saint-Affrique 12797 Polygon
20 Tarn et Causses 10262 Polygon
21 Vallon 11972 Polygon
22 Villefranche-de-Rouergue 13168 Polygon
23 Villeneuvois et Villefranchois 10575 Polygon

2.816859 44.577312 2.81922 44.580592 1 10
2.81922 44.580592 2.823745 44.579722 1 10
2.823745 44.579722 2.822994 44.583804 1 10
2.822994 44.583804 2.820201 44.585919 1 10
2.820201 44.585919 2.820382 44.58937 1 10
2.820382 44.58937 2.817286 44.593134 1 10
2.817286 44.593134 2.807016 44.595133 1 10
2.807016 44.595133 2.804071 44.597588 1 10
2.804071 44.597588 2.79704 44.595985 1 10
2.79704 44.595985 2.795875 44.601155 1 10
2.795875 44.601155 2.799779 44.606461 1 10
2.799779 44.606461 2.805872 44.610201 1 10
2.805872 44.610201 2.801149 44.617961 1 10
2.801149 44.617961 2.79723 44.61879 1 10
2.79723 44.61879 2.79728 44.614979 1 10
2.79728 44.614979 2.793891 44.608315 1 10
2.793891 44.608315 2.787786 44.608198 1 10
2.787786 44.608198 2.784294 44.606907 1 10
2.784294 44.606907 2.776697 44.610838 1 10
2.776697 44.610838 2.772955 44.610326 1 10
2.772955 44.610326 2.768024 44.606543 1 10
2.768024 44.606543 2.763503 44.606004 1 10
2.763503 44.606004 2.759396 44.601614 1 10
2.759396 44.601614 2.75627 44.600955 1 10
2.75627 44.600955 2.750827 44.59479 1 10
2.750827 44.59479 2.745624 44.595983 1 10
2.745624 44.595983 2.746877 44.603524 1 10
2.746877 44.603524 2.749842 44.607361 1 10
2.749842 44.607361 2.748866 44.609612 1 10
2.748866 44.609612 2.75902 44.612748 1 10
2.75902 44.612748 2.763536 44.616742 1 10
2.763536 44.616742 2.760947 44.62091 1 10
2.760947 44.62091 2.757011 44.619001 1 10
2.757011 44.619001 2.751192 44.619186 1 10
2.751192 44.619186 2.750235 44.623184 1 10
2.750235 44.623184 2.740856 44.618886 1 10
2.740856 44.618886 2.735931 44.622041 1 10
2.735931 44.622041 2.727513 44.624233 1 10
2.727513 44.624233 2.721961 44.627339 1 10
2.721961 44.627339 2.715266 44.625755 1 10
2.715266 44.625755 2.709507 44.622409 1 10
2.709507 44.622409 2.704496 44.628042 1 10
2.704496 44.628042 2.693159 44.632289 1 10
2.693159 44.632289 2.686723 44.629033 1 10
2.686723 44.629033 2.683879 44.629705 1 10
2.683879 44.629705 2.67652 44.628692 1 10
2.67652 44.628692 2.672046 44.631326 1 10
2.672046 44.631326 2.661466 44.624725 1 10
2.661466 44.624725 2.656213 44.624721 1 10
2.656213 44.624721 2.651744 44.626343 1 10
2.651744 44.626343 2.648864 44.622852 1 10
2.648864 44.622852 2.643075 44.621151 1 10
2.643075 44.621151 2.640483 44.616374 1 10
2.640483 44.616374 2.623663 44.616226 1 10
2.623663 44.616226 2.618981 44.611537 1 10
2.618981 44.611537 2.615335 44.61101 1 10
2.615335 44.61101 2.613043 44.604443 1 10
2.613043 44.604443 2.602586 44.606242 1 10
2.602586 44.606242 2.598864 44.608668 1 10
2.598864 44.608668 2.592975 44.615015 1 10
2.592975 44.615015 2.591347 44.618373 1 10
2.591347 44.618373 2.581909 44.618829 1 10
2.581909 44.618829 2.581074 44.624125 1 10
2.581074 44.624125 2.57464 44.629432 1 10
2.57464 44.629432 2.576851 44.632508 1 10
2.576851 44.632508 2.58146 44.63287 1 10
2.58146 44.63287 2.587219 44.631477 1 10
2.587219 44.631477 2.598354 44.631274 1 10
2.598354 44.631274 2.604171 44.633975 1 10
2.604171 44.633975 2.603894 44.63883 1 10
2.603894 44.63883 2.609928 44.642687 1 10
2.609928 44.642687 2.623588 44.643012 1 10
2.623588 44.643012 2.626021 44.641385 1 10
2.626021 44.641385 2.634744 44.640297 1 10
2.634744 44.640297 2.63403 44.645545 1 10
2.63403 44.645545 2.637375 44.650744 1 10
2.637375 44.650744 2.63031 44.651417 1 10
2.63031 44.651417 2.62649 44.654479 1 10
2.62649 44.654479 2.620137 44.653847 1 10
2.620137 44.653847 2.615446 44.657527 1 10
2.615446 44.657527 2.616884 44.665849 1 10
2.616884 44.665849 2.623639 44.673517 1 10
2.623639 44.673517 2.610797 44.68328 1 10
2.610797 44.68328 2.60275 44.684337 1 10
2.60275 44.684337 2.604305 44.676445 1 10
2.604305 44.676445 2.606798 44.673961 1 10
2.606798 44.673961 2.600523 44.670121 1 10
2.600523 44.670121 2.609515 44.669249 1 10
