Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.419947 45.287089 5.414422 45.285447 1 23
5.414422 45.285447 5.412268 45.279449 1 23
5.412268 45.279449 5.401285 45.281482 1 23
5.401285 45.281482 5.397736 45.285691 1 23
5.397736 45.285691 5.395027 45.28468 1 23
5.395027 45.28468 5.38646 45.285412 1 23
5.38646 45.285412 5.377637 45.289011 1 23
5.377637 45.289011 5.36925 45.285353 1 23
5.36925 45.285353 5.364963 45.286253 1 23
5.364963 45.286253 5.357004 45.285398 1 23
5.357004 45.285398 5.345614 45.281843 1 23
5.345614 45.281843 5.336958 45.280262 1 23
5.336958 45.280262 5.327288 45.272588 1 23
5.327288 45.272588 5.325377 45.267952 1 23
5.325377 45.267952 5.318585 45.260416 1 23
5.318585 45.260416 5.315406 45.254736 1 23
5.315406 45.254736 5.311112 45.25019 1 23
5.311112 45.25019 5.311941 45.244649 1 23
5.311941 45.244649 5.308529 45.242778 1 23
5.308529 45.242778 5.305823 45.235365 1 23
5.305823 45.235365 5.306725 45.231625 1 23
5.306725 45.231625 5.299822 45.231598 1 23
5.299822 45.231598 5.293346 45.227773 1 23
5.293346 45.227773 5.282184 45.228451 1 23
5.282184 45.228451 5.280065 45.227073 1 23
5.280065 45.227073 5.280379 45.221677 1 23
5.280379 45.221677 5.278382 45.217035 1 23
5.278382 45.217035 5.274094 45.217737 1 23
5.274094 45.217737 5.270743 45.215896 1 23
5.270743 45.215896 5.263324 45.21527 1 23
5.263324 45.21527 5.251609 45.21098 1 23
5.251609 45.21098 5.250715 45.207453 1 23
5.250715 45.207453 5.244784 45.211457 1 23
5.244784 45.211457 5.240007 45.210773 1 23
5.240007 45.210773 5.234651 45.214527 1 23
5.234651 45.214527 5.22943 45.216157 1 23
5.22943 45.216157 5.224401 45.215368 1 23
5.224401 45.215368 5.217465 45.209125 1 23
5.217465 45.209125 5.206337 45.206938 1 23
5.206337 45.206938 5.202993 45.21162 1 23
5.202993 45.21162 5.201706 45.217422 1 23
5.201706 45.217422 5.201047 45.219574 1 0
5.201047 45.219574 5.195145 45.223145 1 0
5.195145 45.223145 5.190762 45.224132 1 0
5.190762 45.224132 5.184214 45.232095 1 0
5.184214 45.232095 5.182843 45.242125 1 0
5.182843 45.242125 5.179083 45.244067 1 0
5.179083 45.244067 5.17657 45.248596 1 0
5.17657 45.248596 5.168597 45.248107 1 0
5.168597 45.248107 5.161641 45.246434 1 0
5.161641 45.246434 5.156628 45.250504 1 0
5.156628 45.250504 5.15967 45.255134 1 0
5.15967 45.255134 5.151613 45.253583 1 0
5.151613 45.253583 5.141755 45.247896 1 0
5.141755 45.247896 5.141308 45.243594 1 0
5.141308 45.243594 5.136013 45.244862 1 0
5.136013 45.244862 5.13187 45.243156 1 0
5.13187 45.243156 5.127822 45.245828 1 0
5.127822 45.245828 5.120924 45.247816 1 0
5.120924 45.247816 5.124498 45.255148 1 0
5.124498 45.255148 5.123822 45.259308 1 0
5.123822 45.259308 5.130255 45.267385 1 0
5.130255 45.267385 5.129744 45.279671 1 0
5.129744 45.279671 5.131674 45.287469 1 0
5.131674 45.287469 5.136951 45.292111 1 0
5.136951 45.292111 5.138779 45.295566 1 0
5.138779 45.295566 5.137722 45.298028 1 0
5.137722 45.298028 5.12851 45.297794 1 0
5.12851 45.297794 5.124586 45.299088 1 0
5.124586 45.299088 5.120818 45.298359 1 0
5.120818 45.298359 5.119176 45.291148 1 0
5.119176 45.291148 5.113189 45.291006 1 0
5.113189 45.291006 5.111388 45.288594 1 0
5.111388 45.288594 5.106864 45.287155 1 0
5.106864 45.287155 5.10311 45.287736 1 0
5.10311 45.287736 5.095017 45.286185 1 0
5.095017 45.286185 5.090414 45.286783 1 0
5.090414 45.286783 5.084776 45.285712 1 0
5.084776 45.285712 5.075575 45.281965 1 0
5.075575 45.281965 5.069685 45.286598 1 0
5.069685 45.286598 5.070161 45.290207 1 0
5.070161 45.290207 5.059061 45.31369 1 0
5.059061 45.31369 5.074845 45.320382 1 21
5.074845 45.320382 5.080278 45.32325 1 21
5.080278 45.32325 5.101271 45.330822 1 21
5.101271 45.330822 5.100687 45.340152 1 21
5.100687 45.340152 5.095935 45.342729 1 21
5.095935 45.342729 5.095265 45.347925 1 21
5.095265 45.347925 5.100979 45.353096 1 21
5.100979 45.353096 5.102856 45.356065 1 21
5.102856 45.356065 5.107748 45.356947 1 21
5.107748 45.356947 5.109614 45.360487 1 21
5.109614 45.360487 5.113907 45.363982 1 21
5.113907 45.363982 5.112513 45.368948 1 21
5.112513 45.368948 5.115987 45.374126 1 21
5.115987 45.374126 5.11886 45.383383 1 21
5.11886 45.383383 5.122862 45.390245 1 21
5.122862 45.390245 5.131665 45.395036 1 21
5.131665 45.395036 5.137426 45.401648 1 21
5.137426 45.401648 5.136926 45.404819 1 21
5.136926 45.404819 5.130491 45.408557 1 21
5.130491 45.408557 5.128442 45.411433 1 21
5.128442 45.411433 5.128655 45.414685 1 21
5.128655 45.414685 5.125142 45.418668 1 21
5.125142 45.418668 5.122111 45.425099 1 21
5.122111 45.425099 5.121446 45.430781 1 21
5.121446 45.430781 5.108805 45.434502 1 21
5.108805 45.434502 5.100714 45.439348 1 21
5.100714 45.439348 5.092571 45.441781 1 21
