Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.220705 45.622069 0.222458 45.628145 4 3
0.222458 45.628145 0.22686 45.627923 4 3
0.22686 45.627923 0.230626 45.633271 4 3
0.230626 45.633271 0.229889 45.634712 4 3
0.229889 45.634712 0.237176 45.63444 4 16
0.237176 45.63444 0.243218 45.637251 4 16
0.243218 45.637251 0.248442 45.636039 4 16
0.248442 45.636039 0.253873 45.642035 4 16
0.253873 45.642035 0.256945 45.643766 4 16
0.256945 45.643766 0.26336 45.649842 4 16
0.26336 45.649842 0.26592 45.64782 4 16
0.26592 45.64782 0.267312 45.643641 4 16
0.267312 45.643641 0.270268 45.642802 4 16
0.270268 45.642802 0.274437 45.645706 4 16
0.274437 45.645706 0.277677 45.64355 4 16
0.277677 45.64355 0.284051 45.648336 4 16
0.284051 45.648336 0.29565 45.64832 4 16
0.29565 45.64832 0.307283 45.652394 4 16
0.307283 45.652394 0.313612 45.642738 4 19
0.313612 45.642738 0.31759 45.642307 4 19
0.31759 45.642307 0.327219 45.638592 4 19
0.327219 45.638592 0.343603 45.633745 4 19
0.343603 45.633745 0.355592 45.628658 4 19
0.355592 45.628658 0.353122 45.623978 4 19
0.353122 45.623978 0.354049 45.619298 4 19
0.354049 45.619298 0.358777 45.619719 4 19
0.358777 45.619719 0.369077 45.617882 4 19
0.369077 45.617882 0.376845 45.619978 4 19
0.376845 45.619978 0.385528 45.619698 4 19
0.385528 45.619698 0.387697 45.618422 4 19
0.387697 45.618422 0.395869 45.617016 4 19
0.395869 45.617016 0.394824 45.610509 4 19
0.394824 45.610509 0.390874 45.609974 4 19
0.390874 45.609974 0.386195 45.602319 4 19
0.386195 45.602319 0.380345 45.596922 4 19
0.380345 45.596922 0.378361 45.598446 4 19
0.378361 45.598446 0.373921 45.595957 4 19
0.373921 45.595957 0.374256 45.593042 4 19
0.374256 45.593042 0.372238 45.586401 4 19
0.372238 45.586401 0.371865 45.579132 4 19
0.371865 45.579132 0.364168 45.575839 4 19
0.364168 45.575839 0.362158 45.57342 4 19
0.362158 45.57342 0.356937 45.575589 4 19
0.356937 45.575589 0.353701 45.574387 4 19
0.353701 45.574387 0.350059 45.576116 4 19
0.350059 45.576116 0.34317 45.57595 4 19
0.34317 45.57595 0.340108 45.571511 4 19
0.340108 45.571511 0.339766 45.567282 4 17
0.339766 45.567282 0.336354 45.565241 4 17
0.336354 45.565241 0.337923 45.561859 4 17
0.337923 45.561859 0.332142 45.561215 4 17
0.332142 45.561215 0.334333 45.555892 4 17
0.334333 45.555892 0.33058 45.54911 4 17
0.33058 45.54911 0.317525 45.549059 4 17
0.317525 45.549059 0.318157 45.544231 4 17
0.318157 45.544231 0.316681 45.538404 4 17
0.316681 45.538404 0.3112 45.537501 4 17
0.3112 45.537501 0.308847 45.530443 4 17
0.308847 45.530443 0.308995 45.527362 4 17
0.308995 45.527362 0.296129 45.531506 4 17
0.296129 45.531506 0.288508 45.532958 4 17
0.288508 45.532958 0.285247 45.53595 4 17
0.285247 45.53595 0.279719 45.536079 4 17
0.279719 45.536079 0.276484 45.532652 4 17
0.276484 45.532652 0.271675 45.531521 4 17
0.271675 45.531521 0.263558 45.535985 4 17
0.263558 45.535985 0.257505 45.536977 4 17
0.257505 45.536977 0.255759 45.532653 4 17
0.255759 45.532653 0.252207 45.529108 4 17
0.252207 45.529108 0.244076 45.530346 4 17
0.244076 45.530346 0.238175 45.539839 4 17
0.238175 45.539839 0.228659 45.537492 4 17
0.228659 45.537492 0.224505 45.538654 4 17
0.224505 45.538654 0.223448 45.541031 4 17
0.223448 45.541031 0.215749 45.54358 4 17
0.215749 45.54358 0.214365 45.541005 4 17
0.214365 45.541005 0.203967 45.545084 4 17
0.203967 45.545084 0.197382 45.546847 4 17
0.197382 45.546847 0.199902 45.551057 4 17
0.199902 45.551057 0.198335 45.554247 4 17
